,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Bal-Acc
Logistic Reg,0.943219262,0.958470022,0.926585695,0.942258208,0.980887568,0.986810095,0.886929352,0.943219075
Bi-LSTM,0.989485049,0.99088715,0.98805668,0.989469891,0.997122999,0.997216215,0.97897409,0.989485032
CNN-1D,0.826643875,0.87522931,0.761898336,0.814641126,0.915349869,0.915052315,0.658833794,0.826643147
Vanilla AE,0.500016869,1,2.25E-05,4.50E-05,0.997676119,0.997627053,0.003353553,0.500011246
RAVEN-ADE++ (Ours),0.995411658,0.996998962,0.993814665,0.995404267,0.999482948,0.999602323,0.990828368,0.99541164
,,,,,,,,
,,,,,,,,
,,,,,,,,
