,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Bal-Acc
Full (All Groups),0.9954116575387142,0.9969989620470238,0.9938146648672964,0.9954042668228615,0.9994829481686087,0.999602322733294,0.9908283683084421,0.9954116395792365
-Behavioral,0.8964586543111301,0.9956136651202024,0.7964237516869096,0.8849484536082475,0.899234681589205,0.9339795353991904,0.8092784387018153,0.8964575293375283
-System,0.8863148187717187,0.9921487721711224,0.7787899235267657,0.8726168424501317,0.8977858599392374,0.9330724046184159,0.7911385111861197,0.8863136095670759
-Semantic,0.9841994579458171,0.9971594189510635,0.9711650922177238,0.9839906108635954,0.9976123008551784,0.9979473471917893,0.9687281098989038,0.9841993113638045
-Temporal,0.9865386129260805,0.9960101809176584,0.9769905533063428,0.9864086929863406,0.9977376772294021,0.9981461695462877,0.9732546810913735,0.9865385055504072
