,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Bal-Acc
Full (Attn + Perm),0.9954116575387142,0.9969989620470238,0.9938146648672964,0.9954042668228615,0.9994829481686087,0.999602322733294,0.9908283683084421,0.9954116395792365
w/o Attention,0.9684326537038495,0.9818160786581839,0.9545434098065677,0.967987683184125,0.9948404712665584,0.9957641647236725,0.937226934010031,0.9684324975080385
w/o Permutation,0.9954116575387142,0.9969989620470238,0.9938146648672964,0.9954042668228615,0.9994829481686087,0.999602322733294,0.9908283683084421,0.9954116395792365
Black-Box (No XAI),0.9684326537038495,0.9818160786581839,0.9545434098065677,0.967987683184125,0.9948404712665584,0.9957641647236725,0.937226934010031,0.9684324975080385
