,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Bal-Acc
Full RAVEN-ADE++,0.9954116575387142,0.9969989620470238,0.9938146648672964,0.9954042668228615,0.9994829481686087,0.999602322733294,0.9908283683084421,0.9954116395792365
w/o HyperGraph,0.9938484722394035,0.9951514331461561,0.9925326135852451,0.9938402981881242,0.9994364229891166,0.9995485832724635,0.9877003640574644,0.9938484574415059
w/o VAE,0.9957265437860573,0.9959942389053921,0.9954565901934322,0.9957253419726422,0.9995428337559643,0.9996796053251029,0.9914532319686585,0.9957265407502103
w/o Attention,0.969984593065755,0.986247178460894,0.9532613585245164,0.9694737684855832,0.9952682501780233,0.9961954569364928,0.9404953282675643,0.9699844049994211
w/o VAE+Attention,0.9903847235186289,0.996606154476915,0.9841205578047684,0.9903240043909781,0.9989163763218849,0.9992455000123172,0.9808464193586651,0.9903846530730056
