,Value
Accuracy,0.9954116575387142
Precision,0.9969989620470238
Recall,0.9938146648672964
F1,0.9954042668228615
ROC-AUC,0.9994829481686087
PR-AUC,0.999602322733294
MCC,0.9908283683084421
Bal-Acc,0.9954116395792365
