,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Bal-Acc
Clean Normal Only,0.9967612792946786,0.006896551724137931,1.0,0.0136986301369863,0.9999775083781292,0.5,0.08291088720367591,0.9983806032252986
Balanced (50/50),0.9953328834907782,0.9968190944571029,0.9938371569950517,0.9953258923040535,0.9993982159381868,0.9995582195317823,0.9906701996417565,0.9953328834907782
Attack Heavy (70%),0.9945051484712032,0.9986209391178532,0.9935222672064777,0.9960650784165604,0.9993784174069569,0.9997712305265957,0.9869968185491852,0.9951604198423487
Stealth Attacks,0.9942149402081069,0.996489585771121,0.9919242118341357,0.994201657781064,0.9989175176186637,0.9993062594594162,0.9884402540255499,0.9942149402081069
